Creation_Date;Index_Symbol;Index_Name;Index ISIN;Internal_Key;ISIN;RIC;Instrument_Name;Country;Currency;Exchange;Index Membership;Rank (FINAL);Rank (PREVIOUS);Comment;Rank 2 (FINAL);Rank 2 (PREVIOUS)
20260901;SXXP;STOXX Europe 600;EU0009658202;DE13TO;;GFTG.DE;GFT TECHNOLOGIES;DE;EUR;XETRA;;1153;1148;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;SE40GQ;;YUBICO.ST;YUBICO;SE;SEK;NASDAQ Stockholm;;1154;1155;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;GB1EOU;;NCCG.L;NCC GROUP;GB;GBP;London SE;;1155;1138;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;GB50OK;;IBST.L;IBSTOCK PLC;GB;GBP;London SE;;1156;1122;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;B011Y0;;GCC.L;C&C GROUP;GB;GBP;London SE;;1157;1118;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;PT401N;;MOTA.LS;MOTA ENGIL SGPS;PT;EUR;Euronext Lisbon;;1158;1147;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;067952;;PINE.L;PINEWOOD TECHNOLOGIES;GB;GBP;London SE;;1159;1145;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;SE303C;;HANZA.ST;HANZA;SE;SEK;NASDAQ Stockholm;;1160;1146;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;SE3DCY;;RUSTA.ST;RUSTA;SE;SEK;NASDAQ Stockholm;;1161;1115;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;NO306K;;ZAP.OL;ZAPTEC;NO;NOK;Oslo Bors;;1162;1154;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;DE9044;;HYQGn.DE;HYPOPORT;DE;EUR;XETRA;;1163;1149;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;FI10A8;;FIA1S.HE;FINNAIR;FI;EUR;NASDAQ Helsinki;;1164;1128;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;DK3011;;MATAS.CO;MATAS;DK;DKK;NASDAQ Copenhagen;;1165;1137;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;B0KM9T;;STEMS.L;STHREE;GB;GBP;London SE;;1166;1158;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;B1WTMX;;B7C.MI;D'AMICO INTERNATIONAL SHIPPING;IT;EUR;Borsa Italiana;;1167;1140;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;PL10DO;;JSW.WA;JSW;PL;PLN;Warsaw SE;;1168;1186;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;SE304D;;CYNCA.ST;CYNCA NORDIC;SE;SEK;NASDAQ Stockholm;;1169;;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;017347;;CPI.L;CAPITA GRP;GB;GBP;London SE;;1170;1153;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;DE105X;;NOEJ.DE;NORMA GROUP;DE;EUR;XETRA;;1171;1103;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;675260;;PZC.L;PZ CUSSONS;GB;GBP;London SE;;1172;1139;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;536722;;HDDG.DE;HEIDELB.DRUCKMASCHINEN;DE;EUR;XETRA;;1173;1164;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;DE404Z;;STM1.DE;STABILUS;DE;EUR;XETRA;;1174;1177;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;537974;;OHLA.MC;OBRASCON HUARTE LAIN;ES;EUR;BME Exchange;;1175;1152;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;DE70DB;;HFGG.DE;HELLOFRESH AG;DE;EUR;XETRA;;1176;1116;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;GB20G9;;WKP.L;WORKSPACE GROUP;GB;GBP;London SE;;1177;1079;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;DE13ZU;;F3CG.DE;SFC ENERGY;DE;EUR;XETRA;;1178;1163;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;AT2027;;LENV.VI;LENZING;AT;EUR;Wiener Boerse AG;;1179;1150;;;
